correction_id,change_kind,source_id,target_id,description,evidence,status
correction.o009.markov.mastery.original-addition,original-addition,o009-lab-markov-gambler-ruin,o009-mastery-markov-gambler-ruin,Add a separately licensed mastery sequence deriving the exact gambler's-ruin probability from harmonic first-step equations.,source/labs/02-simulasi-rantai-markov.Rmd#o009-mastery-markov-gambler-ruin,accepted
correction.o009.markov.program.deterministic-output,deterministic-output,unit.donor.zitkovic.markov-gambler-ruin.program.1,o009-program-markov-gambler-ruin,"Add an explicit seed, preserve the absorbing-chain simulation, and emit a canonical CSV table with finite-horizon and harmonic exact comparators.",source/labs/02-simulasi-rantai-markov.Rmd#o009_lab_markov_gambler_ruin,accepted
correction.o009.mastery.original-addition,original-addition,o009-lab-convergence-mc,o009-mastery-convergence-mc,Add a separately licensed mastery sequence connecting simulation to convergence in probability.,source/labs/01-konvergensi-monte-carlo.Rmd#o009-mastery-convergence-mc,accepted
correction.o009.original.expect.kernels.o009-note-kernels-regular-conditional,original-addition,unit.o009.random.expect.kernels,segment.o009.original.expect.kernels.regular-conditional-note,Qualify existence and almost-everywhere uniqueness of regular conditional distributions.,build/site/expect/Kernels.html#o009-note-kernels-regular-conditional,accepted
correction.o009.program.deterministic-output,deterministic-output,unit.donor.zitkovic.monte-carlo-exp.solution,o009-program-convergence-mc,"Preserve donor seeds, retain signed error, and emit a canonical CSV result table.",source/labs/01-konvergensi-monte-carlo.Rmd#o009_lab_convergence_mc,accepted
correction.o009.random.dist.convergence.visible-skorohod-section-reference,source-link-repair,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence,Supply visible Indonesian text for the source's empty reference to the Skorohod-representation section.,authority/random/static/dist/Convergence.html; build/site/dist/Convergence.html; 00_control/UPSTREAM_FINDINGS.md,accepted
correction.o009.random.expect.kernels.associative-function-domain,source-content-repair,unit.o009.random.expect.kernels,unit.o009.random.expect.kernels,"Use R, the domain of the composed operator, in the existence qualification.",authority/random/static/expect/Kernels.html; build/site/expect/Kernels.html; 00_control/UPSTREAM_FINDINGS.md,accepted
correction.o009.random.expect.kernels.beta-density-second-factor,source-content-repair,unit.o009.random.expect.kernels,unit.o009.random.expect.kernels,Use the beta density's (1-x) second factor.,authority/random/static/expect/Kernels.html; build/site/expect/Kernels.html; 00_control/UPSTREAM_FINDINGS.md,accepted
correction.o009.random.expect.kernels.conditional-expectation-integral-domain,source-content-repair,unit.o009.random.expect.kernels,unit.o009.random.expect.kernels,Integrate a T-valued conditional distribution over T.,authority/random/static/expect/Kernels.html; build/site/expect/Kernels.html; 00_control/UPSTREAM_FINDINGS.md,accepted
correction.o009.random.expect.kernels.conditional-second-moment-macro,source-content-repair,unit.o009.random.expect.kernels,unit.o009.random.expect.kernels,Use the defined expectation macro in the conditional second moment.,authority/random/static/expect/Kernels.html; build/site/expect/Kernels.html; 00_control/UPSTREAM_FINDINGS.md,accepted
correction.o009.random.expect.kernels.discrete-kernel-product,source-content-repair,unit.o009.random.expect.kernels,unit.o009.random.expect.kernels,Use y in the second matrix factor and U as the product kernel's target space.,authority/random/static/expect/Kernels.html; build/site/expect/Kernels.html; 00_control/UPSTREAM_FINDINGS.md,accepted
