term_id,en,id_ID,status,scope,note
O009-T0001,convergence,konvergensi,admitted,course,Use for stochastic/measure convergence; qualify the mode.
O009-T0002,almost sure convergence,konvergensi hampir pasti,admitted,course,Also state dengan probabilitas 1 at first definition.
O009-T0003,convergence in probability,konvergensi dalam probabilitas,admitted,course,
O009-T0004,convergence in distribution,konvergensi dalam distribusi,admitted,course,
O009-T0005,limit superior,limit superior,admitted,course,Retain limsup notation.
O009-T0006,limit inferior,limit inferior,admitted,course,Retain liminf notation.
O009-T0007,increasing event sequence,barisan kejadian menaik,admitted,course,
O009-T0008,decreasing event sequence,barisan kejadian menurun,admitted,course,
O009-T0009,continuity theorem,teorema kekontinuan,provisional,course,Recheck against established Indonesian measure-theory lane terminology.
O009-T0010,Borel-Cantelli lemma,lema Borel–Cantelli,admitted,course,
O009-T0011,Monte Carlo method,metode Monte Carlo,admitted,lab,
O009-T0012,sample mean,rata-rata sampel,admitted,lab,O006/C140 is the shared prerequisite owner.
O009-T0013,stochastic process,proses stokastik,admitted,course,
O009-T0014,conditional expectation,ekspektasi bersyarat,admitted,course,
O009-T0015,martingale,martingal,provisional,course,Verify coordinator-wide convention before first use.
O009-T0016,kernel,kernel,admitted,course,Use for measure kernels and integral operators; qualify the type at first use.
O009-T0017,probability kernel,kernel probabilitas,admitted,course,Stochastic kernel and Markov kernel are stated as synonyms where the source does so.
O009-T0018,kernel density function,fungsi kepadatan kernel,admitted,course,
O009-T0019,invariant measure,ukuran invarian,admitted,course,
O009-T0020,regular conditional distribution,distribusi bersyarat reguler,admitted,course,Existence and almost-everywhere uniqueness require explicit hypotheses.
O009-T0021,submartingale,submartingal,provisional,course,Keep parallel with the selected martingal form.
O009-T0022,supermartingale,supermartingal,provisional,course,Keep parallel with the selected martingal form.
O009-T0023,martingale difference sequence,barisan selisih martingal,admitted,course,
O009-T0024,random walk,gerak acak,admitted,course,Matches the existing O009 stochastic-process reader terminology.
O009-T0025,independent increments,inkremen independen,admitted,course,Preferred technical term in Indonesian stochastic-process literature.
O009-T0026,stationary increments,inkremen stasioner,admitted,course,
O009-T0027,likelihood ratio test,uji rasio kemungkinan,provisional,course,Retain the English term in parentheses at first use if needed.
O009-T0028,branching process,proses percabangan,admitted,course,
O009-T0029,Doob martingale,martingal Doob,provisional,course,
O009-T0030,convex function,fungsi cembung,admitted,course,
O009-T0031,martingale transform,transformasi martingal,admitted,course,
O009-T0032,Doob decomposition,dekomposisi Doob,admitted,course,
O009-T0033,Doob-Meyer decomposition,dekomposisi Doob–Meyer,admitted,course,
O009-T0034,harmonic function,fungsi harmonik,admitted,course,Qualify the Markov process and initial-law scope.
O009-T0035,predictable process,proses terprediksi,admitted,course,
