outcome_id,course_id,label,locale,cognitive_level,status
outcome.o009.analyze-brownian-bridge-empirical-process,course.o009.d30,Menganalisis struktur kovarians jembatan Brown dalam proses empiris tanpa menyamakan hasil titik-demi-titik dengan teorema limit fungsional.,id-ID,analyze,active
outcome.o009.analyze-brownian-scaling-irregularity,course.o009.d30,Menganalisis penskalaan distribusional dan regularitas lintasan gerak Brown.,id-ID,analyze,active
outcome.o009.analyze-brownian-zero-arcsine-lil,course.o009.d30,"Menganalisis himpunan nol, hukum arksinus, dan hukum logaritma berulang untuk gerak Brown.",id-ID,analyze,active
outcome.o009.analyze-discrete-potential-and-restriction,course.o009.d30,"Menganalisis matriks potensial, pengambilan sampel waktu, dan pembatasan substokastik suatu rantai diskret.",id-ID,analyze,active
outcome.o009.analyze-exchangeability-conditional-iid,course.o009.d30,"Menganalisis pertukaran, keindependenan bersyarat, dan hukum hipergeometrik pada awalan barisan.",id-ID,analyze,active
outcome.o009.analyze-geometric-brownian-asymptotics,course.o009.d30,Menganalisis perilaku hampir pasti gerak Brown geometrik dan syarat martingal eksponensialnya.,id-ID,analyze,active
outcome.o009.analyze-markov-ergodic-periodic-limits,course.o009.d30,Menganalisis distribusi limit rantai ergodik dan limit subsekuens rantai periodik melalui kelas-kelas siklik.,id-ID,analyze,active
outcome.o009.analyze-markov-staying-probabilities,course.o009.d30,Menganalisis peluang bertahan sebagai solusi tetap matriks pembatasan dan menggunakannya untuk menguji rekurensi.,id-ID,analyze,active
outcome.o009.analyze-martingale-limit-applications,course.o009.d30,"Menganalisis limit martingal pada gerak acak, proses percabangan, model Bayes, uji rasio kemungkinan, dan hasil kali parsial.",id-ID,analyze,active
outcome.o009.analyze-optimal-stopping,course.o009.d30,Menganalisis aturan ambang penghentian optimal pada masalah sekretaris.,id-ID,analyze,active
outcome.o009.analyze-poisson-thinning-superposition,course.o009.d30,Membuktikan hukum penipisan dan superposisi proses Poisson beserta parameter intensitas yang tepat.,id-ID,prove,active
outcome.o009.analyze-spatial-poisson-models,course.o009.d30,"Menganalisis proses Poisson takhomogen dan spasial, termasuk distribusi jarak titik terdekat, lalu menyelesaikan model cacahan ruang.",id-ID,analyze,active
outcome.o009.apply-brownian-strong-markov-reflection,course.o009.d30,Menerapkan sifat Markov kuat dan prinsip refleksi pada gerak Brown.,id-ID,apply,active
outcome.o009.apply-lp-martingale-convergence,course.o009.d30,Menerapkan pertidaksamaan maksimal untuk membuktikan konvergensi martingal dalam Lp.,id-ID,apply,active
outcome.o009.apply-martingale-maximal-inequalities,course.o009.d30,Menerapkan pertidaksamaan maksimal Doob dan Kolmogorov untuk membatasi probabilitas maksimum lintasan.,id-ID,apply,active
outcome.o009.audit-and-repair-stochastic-process-claims,course.o009.d30,"Mengaudit objek, latar, hipotesis, kesimpulan, dan saksi kegagalan suatu klaim proses stokastik, lalu menyatakan satu perbaikan cukup yang eksplisit.",id-ID,analyze,active
