event_id,event_type,artifact_id,result,detail,timestamp,status
qa.o009.brown-bridge-reader-binding,structural-translation,artifact.input.reader-brown-bridge,pass,"source=13 unit divs/7 disclosures; reader=13 unit divs/9 disclosures; note, offline lab/app, process-limit warning, and mastery exercise/hint/solution are separately bound CC BY 4.0 additions",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.brown-drift-reader-binding,structural-translation,artifact.input.reader-brown-drift,pass,"source=11 unit divs/7 disclosures; reader=11 unit divs/10 disclosures; note, offline lab/app, mastery sequence, and strong-Markov proof are separately bound CC BY 4.0 additions",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.brown-geometric-reader-binding,structural-translation,artifact.input.reader-brown-geometric,pass,"source=14 unit divs/6 disclosures; reader=14 unit divs/8 disclosures; note, offline lab/app, and conditional-law mastery exercise/hint/solution are separately bound CC BY 4.0 additions",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.brown-standard-reader-binding,structural-translation,artifact.input.reader-brown-standard,pass,source=50 unit divs/28 disclosures; reader=50 unit divs/30 disclosures; original solution is separately licensed,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.build-lab-input-binding,input-binding,artifact.input.site-build-receipt,pass,receipt=c95bb36c66684b3fdc1b02de5233fe748aa11805205ef8f831f24d7bec9df085 current=c95bb36c66684b3fdc1b02de5233fe748aa11805205ef8f831f24d7bec9df085,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.build-lab-sources-input-binding,input-binding,artifact.input.site-build-receipt,pass,"receipt_paths=['source/labs/01-konvergensi-monte-carlo.Rmd', 'source/labs/02-simulasi-rantai-markov.Rmd', 'source/labs/03-konvergensi-mode-dan-lln-clt.Rmd', 'source/labs/04-nilai-harapan-bersyarat-martingal.Rmd', 'source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd'] current={'source/labs/01-konvergensi-monte-carlo.Rmd': 'c95bb36c66684b3fdc1b02de5233fe748aa11805205ef8f831f24d7bec9df085', 'source/labs/02-simulasi-rantai-markov.Rmd': '28e9b1c731082f9e590d74cf0b44922f5d45759851a7739bf1af1ad50bf09727', 'source/labs/03-konvergensi-mode-dan-lln-clt.Rmd': 'dbb6c3af2fde53155f4c18a5a75f55b5179a1d1584a3d5655f4e73c64ad1be5b', 'source/labs/04-nilai-harapan-bersyarat-martingal.Rmd': '09148b76b5150471a514e8c284242f09c64aff3e54aa633ad4e2940901eb8002', 'source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd': 'a4703d81620e7e3c8c0767f7896d2acb35adcb394d8ed9299cc6da815482556d'}",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.build-manifest-binding,build-binding,artifact.input.site-build-receipt,pass,receipt=494dc1684132e96563b24a35dcfbd531a4278d4e6614b2cd9f3e04cf8a9be23d current=494dc1684132e96563b24a35dcfbd531a4278d4e6614b2cd9f3e04cf8a9be23d,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.build-theory-input-binding,input-binding,artifact.input.site-build-receipt,pass,"receipt_paths=['brown/Bridge.html', 'brown/Drift.html', 'brown/Geometric.html', 'brown/Standard.html', 'brown/index.html', 'dist/Convergence.html', 'expect/Conditional2.html', 'expect/Kernels.html', 'expect/Uniform.html', 'markov/Discrete.html', 'markov/General.html', 'markov/Limiting.html', 'markov/Periodicity.html', 'markov/Recurrence.html', 'markov/index.html', 'martingales/Backwards.html', 'martingales/Convergence.html', 'martingales/Inequalities.html', 'martingales/Introduction.html', 'martingales/Properties.html', 'martingales/Stop.html', 'martingales/index.html', 'poisson/General.html', 'prob/Convergence.html', 'prob/Probability2.html', 'prob/Processes.html', 'prob/Stop.html'] current={'prob/Convergence.html': '185888375673550452d1d2428cd0b4203fecd31f0f338fc6c703849642a7809a', 'prob/Probability2.html': '4cd3a1eb9edca1c3dc81eba39b97c018b339136241d8a668063e3bf62c1a4c32', 'prob/Processes.html': '34d92779562006d02e3c44ba3b8a92b14039bb5f2792299004e8fd1a64ae0e28', 'prob/Stop.html': 'c1e63e190a870ef117e5f7451b8669b35123eb2a3f1caea381de4f9b1d846d96', 'dist/Convergence.html': '948e294db3cfe1daefbd5bfd1e50f9d7a8b942dadfc0cefc63ca171be974dccc', 'expect/Conditional2.html': 'ddd6260bfafc60a7de3e2b78220c0b793349abcf01afa8cf35420cb16f4e55b7', 'expect/Uniform.html': '99ed5b7958a50fd3fbc131d36ab683e59031e0c466ce10ae2212f5c5e2b76bb8', 'expect/Kernels.html': '5eb002c6749c46f90468ca78f62b57d88f068c5ec4b9dcd465aa90814f274b8b', 'martingales/Introduction.html': '6536e10c13814891939aa429592c80908cad2dc3e618d4cf585b4bda58ba4101', 'martingales/Properties.html': 'ffdaf9c5f348baca098990f8f44afedffc832b0fdf245cadeb08c63b7184cbe8', 'martingales/Stop.html': '7b2d717eb0c5e04a0fe1d46cd9cadb2e5d295fd4a43cab863cf6d3835bef23b2', 'martingales/Inequalities.html': 'f7327659431ab0f8a7b6f696474e4b0e57e7dd138ba0374c5f722a31781161b6', 'martingales/Convergence.html': 'da3c58c6260e21b9c04a67bdb18656bfcaabea4d7f8ee83b8f9538d0668a5747', 'martingales/Backwards.html': '61e6b2c6f1c6b9ee5309b4ca7f7b290737490f417b217fa0aa8ddfcfb8064c5e', 'markov/General.html': '9d0fe0a65b469b6a5e1634f8abaa6667a277a9582c4e16ce56867b6ace4f6ff9', 'markov/Discrete.html': '8875d0089a5f26b5b7373b97a48e6608d5a50632de51aa4d1de005fa247042f6', 'markov/Recurrence.html': '8dfcd29fb8b289d9ff45ee06eb9d37c8e330232e74761d38035750b94eadfb61', 'markov/Periodicity.html': 'd22a8fdd9e81ccf43cd72f323915276afa3cbf9a96b52767a82bb4040d1f8bc0', 'markov/Limiting.html': '9ab9164c51069883a19cc2da591afd1019d214a497c743a8ef42491fd16e9c42', 'poisson/General.html': '55d52fefbed117b3dce83dec0a57a3a2187d081531fe6ef08518a871a31cd975', 'brown/Standard.html': '3693677d4d4c75e7888f806a027fa25020babeb80c720bbb77ad6fd0c639276b', 'brown/Drift.html': '7957d796d47ae31d74e1f0ae9733eac7df22f2ccd3311d5195c4cf948dcb9936', 'brown/Bridge.html': '8af8c9da98203455a19181a4609cd52fe39787bcc7c21e607c92bf1b4235cc1a', 'brown/Geometric.html': '8404e8ac8caaa41699d8f2e623a890f991cc208d63200bfdef6c636640fecf0e', 'martingales/index.html': '61a0cf06004de06d9afb5869426c8319cca9f3cbacbf6ed6832691dadabcfa33', 'markov/index.html': 'b2948f92824eebb77f05bd0ebf2117d476fc4ae4f2c9cbbc3ad4ab37f73e0e7f', 'brown/index.html': '3f16a19194aeffe6cf6e5e6d98765f4aacbe743933fcf5365b0012438c8804a0'}",2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.graph-completeness,graph-validation,artifact.exporter.backend,pass,records=8871 relations=3256,2026-08-29T16:49:55.089106+00:00,recorded
qa.o009.o006-prerequisite,prerequisite-boundary,artifact.exporter.backend,pass,O006/C140 prerequisite relation is present,2026-08-29T16:49:55.089106+00:00,recorded
