term_id,en,id_ID,status,scope,note
O009-T0001,convergence,konvergensi,admitted,course,Use for stochastic/measure convergence; qualify the mode.
O009-T0002,almost sure convergence,konvergensi hampir pasti,admitted,course,Also state dengan probabilitas 1 at first definition.
O009-T0003,convergence in probability,konvergensi dalam probabilitas,admitted,course,
O009-T0004,convergence in distribution,konvergensi dalam distribusi,admitted,course,
O009-T0005,limit superior,limit superior,admitted,course,Retain limsup notation.
O009-T0006,limit inferior,limit inferior,admitted,course,Retain liminf notation.
O009-T0007,increasing event sequence,barisan kejadian menaik,admitted,course,
O009-T0008,decreasing event sequence,barisan kejadian menurun,admitted,course,
O009-T0009,continuity theorem,teorema kekontinuan,provisional,course,Recheck against established Indonesian measure-theory lane terminology.
O009-T0010,Borel-Cantelli lemma,lema Borel–Cantelli,admitted,course,
O009-T0011,Monte Carlo method,metode Monte Carlo,admitted,lab,
O009-T0012,sample mean,rata-rata sampel,admitted,lab,O006/C140 is the shared prerequisite owner.
O009-T0013,stochastic process,proses stokastik,admitted,course,
O009-T0014,conditional expectation,ekspektasi bersyarat,admitted,course,
O009-T0015,martingale,martingal,provisional,course,Verify coordinator-wide convention before first use.
O009-T0016,kernel,kernel,admitted,course,Use for measure kernels and integral operators; qualify the type at first use.
O009-T0017,probability kernel,kernel probabilitas,admitted,course,Stochastic kernel and Markov kernel are stated as synonyms where the source does so.
O009-T0018,kernel density function,fungsi kepadatan kernel,admitted,course,
O009-T0019,invariant measure,ukuran invarian,admitted,course,
O009-T0020,regular conditional distribution,distribusi bersyarat reguler,admitted,course,Existence and almost-everywhere uniqueness require explicit hypotheses.
O009-T0021,submartingale,submartingal,provisional,course,Keep parallel with the selected martingal form.
O009-T0022,supermartingale,supermartingal,provisional,course,Keep parallel with the selected martingal form.
O009-T0023,martingale difference sequence,barisan selisih martingal,admitted,course,
O009-T0024,random walk,gerak acak,admitted,course,Matches the existing O009 stochastic-process reader terminology.
O009-T0025,independent increments,inkremen independen,admitted,course,Preferred technical term in Indonesian stochastic-process literature.
O009-T0026,stationary increments,inkremen stasioner,admitted,course,
O009-T0027,likelihood ratio test,uji rasio kemungkinan,provisional,course,Retain the English term in parentheses at first use if needed.
O009-T0028,branching process,proses percabangan,admitted,course,
O009-T0029,Doob martingale,martingal Doob,provisional,course,
O009-T0030,convex function,fungsi cembung,admitted,course,
O009-T0031,martingale transform,transformasi martingal,admitted,course,
O009-T0032,Doob decomposition,dekomposisi Doob,admitted,course,
O009-T0033,Doob-Meyer decomposition,dekomposisi Doob–Meyer,admitted,course,
O009-T0034,harmonic function,fungsi harmonik,admitted,course,Qualify the Markov process and initial-law scope.
O009-T0035,predictable process,proses terprediksi,admitted,course,
O009-T0036,optional stopping,penghentian opsional,admitted,course,
O009-T0037,stopped martingale,martingal yang dihentikan,admitted,course,
O009-T0038,Wald's equation,persamaan Wald,admitted,course,
O009-T0039,pattern waiting time,waktu tunggu pola,admitted,course,
O009-T0040,secretary problem,masalah sekretaris,admitted,course,Canonical optimal-stopping example.
O009-T0041,hitting time,waktu pencapaian,admitted,course,Use for first entrance into a specified state or level.
O009-T0042,simple word,kata sederhana,admitted,course,No proper prefix is also a suffix.
O009-T0043,compound word,kata majemuk,admitted,course,Has a proper prefix that is also a suffix.
O009-T0044,optimal stopping,penghentian optimal,admitted,course,Umbrella concept for the secretary application.
O009-T0045,maximal process,proses maksimal,admitted,course,For the running supremum of a stochastic process.
O009-T0046,maximal inequality,pertidaksamaan maksimal,admitted,course,Use with the relevant attribution or norm when needed.
O009-T0047,Doob Lp maximal inequality,pertidaksamaan maksimal Lp Doob,provisional,course,Keep the exponent in mathematical notation in reader prose.
O009-T0048,upcrossing,lintas-naik,admitted,course,Use consistently for alternating crossings from at most a to at least b.
O009-T0049,upcrossing inequality,pertidaksamaan lintas-naik,admitted,course,Doob's oscillation bound for submartingales or supermartingales.
O009-T0050,bold play,permainan berani,provisional,course,Retain the English term in parentheses on first occurrence in the gambling application.
O009-T0051,martingale convergence theorem,teorema konvergensi martingal,admitted,course,Qualify first/second theorem where the source distinguishes them.
O009-T0052,uniform integrability,keterintegralan seragam,admitted,course,Use peubah terintegralkan seragam for the adjectival form.
O009-T0053,beta-Bernoulli process,proses beta–Bernoulli,admitted,course,Preserve the named compound process.
O009-T0054,Pólya urn process,proses urna Pólya,admitted,course,Distinguish sample draw proportion from urn composition.
O009-T0055,likelihood-ratio martingale,martingal rasio kemungkinan,admitted,course,Matches uji rasio kemungkinan in the statistical application.
O009-T0056,partial-product process,proses hasil kali parsial,admitted,course,Place indexed normalizers inside the product.
O009-T0057,Radon-Nikodym derivative,turunan Radon–Nikodym,admitted,course,Also describe as fungsi kepadatan when appropriate.
